week,revenue,cogs,opex,depreciation,ebitda,ebit,interest_expense,tax,net_income,cash,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,accounts_receivable,accounts_payable,debt,capex,dividends,r_and_d,marketing_expense,employee_count
2005-01-02,16296,6734,3715,685,5847,5162,264,1367,3531,500003531,15461,9855,5606,6684,2707,832,3053,1610,2409,470,485,309,703,123
2005-01-09,12899,5823,3185,337,3891,3554,376,817,2361,500005892,16927,9723,7204,8020,3247,296,2389,1222,4129,523,326,339,609,74
2005-01-16,18014,6455,5383,885,6176,5291,260,1011,4020,500009912,22778,14447,8331,11043,4782,671,3223,1777,3489,424,293,660,715,55
2005-01-23,26052,9891,4902,1147,11259,10112,298,2259,7555,500017467,36982,16920,20062,17459,9758,1280,6154,2567,12831,1433,1055,481,969,71
2005-01-30,13132,7187,3017,647,2928,2281,146,434,1701,500019168,16504,6849,9655,9237,5423,551,2616,1886,5269,221,143,309,648,50
2005-02-06,13353,7251,4101,678,2001,1323,220,244,859,500020027,15966,10571,5395,8060,2442,800,3646,1301,3701,526,70,262,630,176
2005-02-13,28004,9829,2885,1653,15290,13637,672,3345,9620,500029647,33007,13951,19056,16979,7637,1149,4973,2165,14752,1084,1180,408,635,50
2005-02-20,20522,11089,2604,881,6829,5948,208,1476,4264,500033911,18850,8935,9915,10756,4948,1281,4509,3097,3549,878,343,372,397,99
2005-02-27,12666,6052,2855,426,3759,3333,288,618,2427,500036338,14375,8749,5626,8067,2363,572,1926,1365,2629,446,134,338,610,55
2005-03-06,19189,10047,5133,882,4009,3127,106,822,2199,500038537,30380,15884,14496,12955,7985,851,4265,2537,6665,470,192,266,539,71
2005-03-13,12945,5708,4997,294,2240,1946,200,418,1328,500039865,19566,12970,6596,10620,3003,763,2050,1360,2477,644,162,518,913,186
2005-03-20,13023,5901,4654,728,2468,1740,318,310,1112,500040977,14723,7205,7518,7171,3674,743,3863,1631,5301,201,92,526,1142,129
2005-03-27,17372,7779,4586,430,5007,4577,234,1000,3343,500044320,22783,9194,13589,10456,5672,639,4666,1499,9240,414,378,685,1134,73
2005-04-03,7359,3557,4271,244,-469,-713,141,0,-854,500043466,10988,5386,5602,4505,2562,214,1645,841,3037,124,0,639,608,93
2005-04-10,7945,3003,3357,418,1585,1167,80,257,830,500044296,9605,5508,4097,4778,2279,172,1295,506,2331,293,102,456,558,86
2005-04-17,12641,4500,4073,555,4068,3513,298,735,2480,500046776,11536,5915,5621,5434,2419,267,3020,1141,1854,154,346,230,446,124
2005-04-24,10530,4334,5129,376,1067,691,66,144,481,500047257,10026,5619,4407,4515,2333,469,2778,1126,2546,289,45,745,1185,136
2005-05-01,17827,8752,4728,694,4347,3653,469,629,2555,500049812,22413,14859,7554,12079,4408,483,3184,1369,5255,1061,170,526,876,224
2005-05-08,10867,4242,5430,589,1195,606,108,130,368,500050180,17155,11558,5597,9502,3000,355,2556,1066,3285,665,30,706,857,50
2005-05-15,8813,4272,4518,296,23,-273,237,0,-510,500049670,12208,5857,6351,5481,3571,535,2398,907,2748,160,0,410,528,131
2005-05-22,27605,15017,4292,1512,8296,6784,381,1236,5167,500054837,26215,14121,12094,10745,5101,1193,7322,2532,7665,497,627,352,1039,119
2005-05-29,13881,5119,5076,327,3686,3359,320,780,2259,500057096,14333,8094,6239,8166,2808,647,3754,1090,2999,530,116,489,911,184
2005-06-05,15420,7471,3444,788,4505,3717,200,961,2556,500059652,22204,15204,7000,8926,4052,930,4347,1338,4007,1017,209,223,491,156
2005-06-12,8376,3675,2807,451,1894,1443,232,333,878,500060530,12472,8725,3747,7326,2035,274,2435,780,2038,141,112,241,428,169
2005-06-19,11741,6148,3296,320,2297,1977,96,408,1473,500062003,15644,7362,8282,8221,4372,755,2475,1277,4063,665,172,447,463,159
2005-06-26,15030,5793,3372,559,5865,5306,142,1000,4164,500066167,20307,12552,7755,9430,4132,723,3537,1511,5114,659,513,181,642,97
2005-07-03,8931,4363,3443,238,1125,887,155,170,562,500066729,8215,4218,3997,3691,1930,392,2399,1161,2966,262,74,224,825,206
2005-07-10,16185,8378,3624,781,4183,3402,114,629,2659,500069388,23953,9639,14314,9624,5853,595,4120,2020,4332,1157,341,227,828,187
2005-07-17,10777,5808,3194,446,1775,1329,107,334,888,500070276,15646,6302,9344,6995,5204,593,3226,891,7165,624,105,288,540,194
