date,revenue,cogs,opex,depreciation,ebitda,ebit,interest_expense,tax,net_income,cash,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,accounts_receivable,accounts_payable,debt,r_and_d,marketing,employee_count
1995-01-01,12620,5956,4106,369,2558,2189,364,453,1372,1000001372,17380,9862,7518,9996,4148,431,3457,1735,3213,507,521,406
1995-01-02,30498,11112,3611,803,15775,14972,276,3725,10971,1000012343,35088,18776,16312,16780,9019,700,7835,1753,12435,488,779,638
1995-01-03,15038,7100,2590,715,5348,4633,308,942,3383,1000015726,16386,8309,8077,6957,3725,698,4488,2092,3799,158,466,240
1995-01-04,22913,9573,3801,1180,9539,8359,635,1513,6211,1000021937,34428,23048,11380,19763,5219,1158,4073,1448,7114,335,566,407
1995-01-05,12685,6944,4445,669,1296,627,345,63,219,1000022156,16349,9636,6713,6955,3210,850,3021,1222,3039,572,979,407
1995-01-06,13160,5189,2619,766,5352,4586,224,798,3564,1000025720,18329,10701,7628,10735,3864,362,3065,1283,5804,194,512,769
1995-01-07,18345,9573,5735,718,3037,2319,394,457,1468,1000027188,16522,10373,6149,9510,3556,581,3250,1475,3817,580,1422,557
1995-01-08,18916,10197,3127,737,5592,4855,338,926,3591,1000030779,27907,19180,8727,13915,5160,1364,2959,1642,5199,167,632,535
1995-01-09,13027,7120,2612,706,3295,2589,68,655,1866,1000032645,11813,7308,4505,5186,2614,736,3679,1434,1970,204,620,509
1995-01-10,5299,2400,2340,274,559,285,49,45,191,1000032836,8295,4118,4177,3963,2274,321,813,579,1792,223,435,521
1995-01-11,12811,6386,3543,538,2882,2344,280,413,1651,1000034487,15296,9532,5764,8037,3061,914,2838,1493,3204,369,537,447
1995-01-12,18061,9042,3041,920,5978,5058,206,1226,3626,1000038113,17361,9974,7387,8390,3820,513,4852,2002,2706,241,349,407
1995-01-13,13894,6715,3327,501,3852,3351,94,895,2362,1000040475,22153,12347,9806,12162,4005,473,2131,1622,4240,461,430,368
1995-01-14,16559,9028,3161,365,4370,4005,399,919,2687,1000043162,22480,14912,7568,13480,4376,871,3709,2054,3179,221,762,229
1995-01-15,15411,8328,3936,462,3147,2685,129,528,2028,1000045190,15185,7720,7465,6325,4044,702,3896,2124,2323,564,949,567
1995-01-16,7809,3373,2025,231,2411,2180,156,520,1504,1000046694,10134,6025,4109,5778,2039,302,1735,873,2345,181,375,448
1995-01-17,19783,7237,2626,1089,9920,8831,240,1865,6726,1000053420,21401,9597,11804,9977,6948,590,5689,1484,4038,373,602,812
1995-01-18,11046,4266,2016,600,4764,4164,222,856,3086,1000056506,10560,5147,5413,5760,2275,477,1751,1208,2123,262,449,474
